DESTINO;CUENTA_CUIT;LINK;LINK5;PROV;PUNTO_GEOGRAFICO;POBLACION;DENSIDAD;NBI
PUERTO GRAL. SAN MARTIN;50;30084190;30084;Entre Rios;Point (-60.16796186019809767 -31.46360641146860004);339930;0,658548948;0,05122346
PUERTO IGUAZÚ;50;54063030;54063;Misiones;Point (-54.57673688098199705 -25.6010431152665987);82227;0,289543154;0,213127737
PUERTO LIBERTAD;50;54063020;54063;Misiones;Point (-54.58212098720289873 -25.92167133727310002);82227;0,289543154;0,213127737
PUERTO MADRYN;50;26007020;26007;Chubut;Point (-65.04222981781620661 -42.755099678344898);82883;0,064345109;0,088635528
PUERTO SAN JULIAN;26;78042010;78042;Santa Cruz;Point (-67.73197029260749957 -49.30770359536300163);9202;0,004518302;0,051300321
PUNTA INDIO;67;6655040;06655;Buenos Aires;Point (-57.23600723915239996 -35.2808352898087989);9888;0,060402587;0,063580428
QUILMES;272;6658010;06658;Buenos Aires;Point (-58.26383143516459739 -34.76344420774479715);582943;62,61997779;0,092089662
RAFAELA;55;82021310;82021;Santa Fe;Point (-61.4998117939867015 -31.24824824132040035);178092;0,263670012;0,050848656
RAMALLO;100;6665040;06665;Buenos Aires;Point (-60.00722097416070255 -33.48770211698879962);33042;0,31114899;0,061856681
RAWSON;54;6210050;06210;Buenos Aires;Point (-60.067710676100603 -34.60863743373089818);48703;0,210969643;0,040979631
RECONQUISTA;200;82049180;82049;Santa Fe;Point (-59.65107305635810064 -29.14514683892630131);176410;0,157739735;0,117753007
RESISTENCIA;276;22140060;22140;Chaco;Point (-58.98761744080159986 -27.45211945845489865);390874;1,074211368;0,113060447
RIO CEBALLOS;50;14021230;14021;Cordoba;Point (-64.30967617548479609 -31.17485355714979889);225151;0,961595307;0,078080903
RIO CUARTO;50;14098230;14098;Cordoba;Point (-64.3487377033753063 -33.12426312200629752);246393;0,132594975;0,045302802
RIO GALLEGOS;54;78021040;78021;Santa Cruz;Point (-69.2290509293743952 -51.62143498391650098);113267;0,03364537;0,06693484
RIO GRANDE;54;74021080;74021;San Luis;Point (-66.0717543089663053 -33.04850460225019759);13157;0,032315935;0,098397041
RIO TERCERO;50;14161150;14161;Cordoba;Point (-64.11305605622830228 -32.17310097127799651);109554;0,212842714;0,033279716
ROSARIO;175;82084270;82084;Santa Fe;Point (-60.65153793545159999 -32.95381425752130156);1193605;6,50726719;0,065619961
ROSARIO DE LA FRONTERA;50;66140050;66140;Salta;Point (-64.98406182427829947 -25.80889718208640105);28993;0,056050251;0,14840446
ROSARIO(1);1;;;;"LIMPIARIA LA TABLA PARA UNIFICAR ""ROSARIO"" CON ""ROSARIO(1)""";;;
SALDAN;50;14021240;14021;Cordoba;Point (-64.31290430361360677 -31.31426968141310141);225151;0,961595307;0,078080903
SALSIPUEDES;50;14021250;14021;Cordoba;Point (-64.28733310743669449 -31.13492693109879994);225151;0,961595307;0,078080903
SALTA CAPITAL;400;66028050;66028;Salta;Point (-65.46397620704240694 -24.76354441834899944);536113;3,034996652;0,127583942
SAN ANDRES DE GILES;50;6728040;06728;Buenos Aires;Point (-59.44516735639479776 -34.44590808147479777);23027;0,202390776;0,057111477
SAN ANTONIO DE ARECO;100;6735020;06735;Buenos Aires;Point (-59.47086347970049758 -34.25037631138759764);23138;0,26564382;0,039354749
SAN ANTONIO OESTE;76;62077050;62077;Rio Negro;Point (-64.95529413071710678 -40.73129452750129786);29284;0,020489273;0,062296858
SAN CARLOS DE BARILOCHE;61;62021060;62021;Rio Negro;Point (-71.47267367953719486 -41.06497027140920153);133500;0,200797086;0,109848485
SAN FERNANDO;68;6749010;06749;Buenos Aires;Point (-58.5761941633193004 -34.46362400927269931);163240;1,615412114;0,085837518
SAN FRANCISCO;50;14140360;14140;Cordoba;Point (-62.08663361460769892 -31.42760888697879906);206307;0,131354495;0,042539502
SAN ISIDRO;68;6756010;06756;Buenos Aires;Point (-58.52719519995989828 -34.47704121621409712);292878;55,41410483;0,036569183
SAN JAVIER;50;54105040;54105;Misiones;Point (-55.13483765304449946 -27.86532315667020043);20906;0,311487765;0,164333217
SAN JOSE;50;6203070;06203;Buenos Aires;Point (-61.92114730853030125 -37.5077480260109013);38320;0,063763669;0,023492677
SAN LUIS;53;74056150;74056;San Luis;Point (-66.33608773573580208 -33.30231396598819771);204019;0,157547382;0,068375485
SAN MARTIN DE LOS ANDES;55;58056010;58056;Neuquen;Point (-71.35500986193220285 -40.1537600653135982);29748;0,059524084;0,086728564
SAN MIGUEL;68;6760010;06760;Buenos Aires;Point (-58.70802275724239649 -34.55573516298729686);276190;32,70122647;0,081759212
SAN MIGUEL DE TUCUMAN;901;90084010;90084;Tucuman;Point (-65.21054418110479389 -26.82900979033000155);548866;60,88524574;0,096469117
SAN NICOLÁS DE LOS ARROYOS;55;6763050;06763;Buenos Aires;Point (-60.28469728783900194 -33.40108370295639872);145857;2,150808738;0,056047591
SAN PEDRO;50;6770050;06770;Buenos Aires;Point (-59.66689510278950337 -33.67912522533659825);59036;0,428204716;0,076622743
SAN RAMON DE LA NUEVA ORAN;100;66126070;66126;Salta;Point (-64.31858847470400065 -23.12981388739159883);138838;0,117566581;0,301547443
SAN ROQUE;26;14091200;14091;Cordoba;Point (-64.45992939211740236 -31.34969043646249887);178401;0,722036068;0,056648508
SAN SALVADOR DE JUJUY;368;38021060;38021;Jujuy;Point (-65.30245063684090212 -24.19535779390880137);265249;1,197208573;0,110806209
SAN VICENTE;118;6778020;06778;Buenos Aires;Point (-58.38653468940910329 -35.01351252857779883);59478;0,892101193;0,154592194
SANTA ELENA;26;14112100;14112;Cordoba;Point (-63.84380547104880321 -30.11747565510109936);13242;0,018974793;0,146125845
SANTA FE;165;82063170;82063;Santa Fe;Point (-60.7093147118986991 -31.64516480543089827);525093;1,762004181;0,05760811
SANTA MARIA DE PUNILLA;50;14091210;14091;Cordoba;Point (-64.46533576784310071 -31.27033198603610131);178401;0,722036068;0,056648508
SANTA ROSA;53;6134060;06134;Buenos Aires;Point (-58.7308918275977021 -34.96118393718099782);51892;0,432971752;0,102076803
SANTA ROSA DE CALAMUCHITA;26;14007210;14007;Cordoba;Point (-64.54473237616430481 -32.07315737463969896);54730;0,115416519;0,07768253
SANTIAGO DEL ESTERO CAPITAL;150;86049110;86049;Santiago del Ester;Point (-64.21666021171280647 -27.8089009906805984);267125;1,253073263;0,094326458
SIERRA GRANDE;50;62077060;62077;Rio Negro;Point (-65.35340174060910101 -41.60718633155129709);29284;0,020489273;0,062296858
TANDIL;300;6791050;06791;Buenos Aires;Point (-59.13106917704290311 -37.32388490608769871);123871;0,252940948;0,037237864
TANTI;50;14091230;14091;Cordoba;Point (-64.59095583058160628 -31.35490724373450178);178401;0,722036068;0,056648508
TARTAGAL;82;66056220;66056;Salta;Point (-63.79704729960980103 -22.50986450994500032);156910;0,098054187;0,260002637
TIGRE;272;6805010;06805;Buenos Aires;Point (-58.6448936162044987 -34.45230881199079676);376381;9,390191518;0,110374178
TILCARA;26;38094050;38094;Jujuy;Point (-65.39407934383210375 -23.57035201432359983);12349;0,058239346;0,184869002
TORNQUIST;50;6819040;06819;Buenos Aires;Point (-62.221809127004299 -38.0989983131157004);12723;0,030542598;0,032833848
TRELEW;54;26077040;26077;Chubut;Point (-65.31038133196939555 -43.24835385703089941);131313;0,31537278;0,062422609
UNQUILLO;50;14021280;14021;Cordoba;Point (-64.31774255986729827 -31.23197250340560061);225151;0,961595307;0,078080903
URBANO DE LA COSTA;216;;;;¿ESTO ES VILLA GESELL O MAR DEL PLATA?;;;
USHUAIA;49;94014020;94014;Tierra del Fuego;Point (-68.316062477253098 -54.80364046017079716);56956;0,063916111;0,131371878
VENADO TUERTO;55;82042290;82042;Santa Fe;Point (-61.96953586920010082 -33.74731529218699677);191024;0,167631731;0,047005295
VIEDMA;110;62007090;62007;Rio Negro;Point (-62.98532036827120351 -40.80932327123890246);57678;0,064048008;0,063232488
VILLA ALLENDE;8;14021290;14021;Cordoba;Point (-64.29500777462010319 -31.29220675613759894);225151;0,961595307;0,078080903
VILLA CARLOS PAZ;50;14091250;14091;Cordoba;Point (-64.49334480631409861 -31.41823802089179907);178401;0,722036068;0,056648508
VILLA CONSTITUCION;55;82028230;82028;Santa Fe;Point (-60.33249882734649816 -33.23241339117969773);86910;0,256341126;0,058390207
VILLA DOLORES;54;14133200;14133;Cordoba;Point (-65.19613956085899531 -31.94404341160770144);53520;0,345668002;0,100536108
VILLA GENERAL BELGRANO;38;14007310;14007;Cordoba;Point (-64.56061915059180478 -31.98082364497170005);54730;0,115416519;0,07768253
VILLA GESELL;49;6868020;06868;Buenos Aires;Point (-56.97072676244059863 -37.24647046985000287);31730;1,958680279;0,083092346
VILLA LA ANGOSTURA;13;58070010;58070;Neuquen;Point (-71.64519675129260179 -40.76317606926799897);11998;0,028430108;0,062931272
VILLA MARIA;50;6021060;06021;Buenos Aires;Point (-60.34693856148820146 -34.88812554476849925);10654;0,094419371;0,022204807
VILLA MERCEDES;51;70056110;70056;San Juan;Point (-68.70094291848900525 -30.10887218986039926);21730;0,015147188;0,099906803
VISTA ALEGRE;50;58035130;58035;Neuquen;Point (-68.17214388623659715 -38.72771231276789905);362673;0,503163091;0,089677159
ZAPALA;26;58112040;58112;Neuquen;Point (-70.06685453237710703 -38.89616873237199712);36549;0,067690326;0,123334886
ZARATE;68;6882050;06882;Buenos Aires;Point (-59.04834268568819766 -34.11153064819259839);114269;0,953821559;0,091200423
